Unnamed: 0,date,state,cases,deaths,cases_diff,death_diff
112,2020-3,Illinois,6978,146.0,6975,146.0
113,2020-3,Massachusetts,7738,122.0,7737,122.0
114,2020-3,Washington,5589,250.0,5572,247.0
115,2020-3,Florida,7769,100.0,7767,100.0
116,2020-3,Nebraska,249,5.0,236,5.0
117,2020-3,New York,84364,2415.0,84363,2415.0
118,2020-3,Oregon,737,19.0,735,19.0
119,2020-3,Rhode Island,566,10.0,564,10.0
120,2020-3,Texas,4402,65.0,4391,65.0
121,2020-3,Utah,1012,7.0,1011,7.0
122,2020-3,Wisconsin,1552,33.0,1551,33.0
123,2020-3,Alabama,1108,28.0,1108,28.0
124,2020-3,Alaska,143,2.0,143,2.0
125,2020-3,Arkansas,624,10.0,624,10.0
126,2020-3,Colorado,3346,80.0,3346,80.0
127,2020-3,Connecticut,3557,85.0,3557,85.0
128,2020-3,Delaware,368,11.0,368,11.0
129,2020-3,District of Columbia,586,11.0,586,11.0
130,2020-3,Georgia,4747,154.0,4747,154.0
131,2020-3,Guam,147,3.0,147,3.0
132,2020-3,Hawaii,258,1.0,258,1.0
133,2020-3,Idaho,669,9.0,669,9.0
134,2020-3,Indiana,2578,80.0,2578,80.0
135,2020-3,Iowa,549,9.0,549,9.0
136,2020-3,Kansas,489,11.0,489,11.0
137,2020-3,Kentucky,674,20.0,674,20.0
138,2020-3,Louisiana,6424,275.0,6424,275.0
139,2020-3,Maine,344,7.0,344,7.0
140,2020-3,Maryland,1985,33.0,1985,33.0
141,2020-3,Michigan,9292,336.0,9292,336.0
142,2020-3,Minnesota,689,17.0,689,17.0
143,2020-3,Mississippi,1073,22.0,1073,22.0
144,2020-3,Missouri,1580,21.0,1580,21.0
145,2020-3,Montana,219,5.0,219,5.0
146,2020-3,Nevada,1279,32.0,1279,32.0
147,2020-3,New Hampshire,415,4.0,415,4.0
148,2020-3,New Jersey,22255,355.0,22255,355.0
149,2020-3,New Mexico,363,6.0,363,6.0
150,2020-3,North Carolina,1591,11.0,1591,11.0
151,2020-3,North Dakota,147,3.0,147,3.0
152,2020-3,Northern Mariana Islands,6,1.0,6,1.0
